Entry	Gene Names (primary)	Gene Names (ordered locus)	Pathway	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	STRING	eggNOG	OrthoDB	UniPathway	CDD	PROSITE	SMART	Pfam	InterPro	Gene Names
A0A510N3X6	moaE			Mo-molybdopterin cofactor biosynthetic process [GO:0006777]		molybdopterin synthase activity [GO:0030366]					cd00756;			PF02391;	IPR036563;IPR003448;	moaE VNG_0081G
A0A510N3X7	cspA1				cytoplasm [GO:0005737]	nucleic acid binding [GO:0003676]					cd04458;	PS51857;	SM00357;	PF00313;	IPR012156;IPR011129;IPR002059;IPR012340;	cspA1 VNG_0101G
A0A510N3X9																VNG_0116a
A0A510N3Y3																VNG_0112H VNG_6015H VNG_6111H VNG_7011b VNG_7079a
A0A510N3Z0	cre1					hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]								PF02633;	IPR024087;IPR003785;	cre1 VNG_0124C
A0A510N401					integral component of membrane [GO:0016021]											VNG_0141H
A0A510N403																VNG_0137a
A0A510N406					integral component of membrane [GO:0016021]											VNG_0130H
A0A510N411	trxA4											PS51352;			IPR036249;IPR013766;	trxA4 VNG_0151C
A0A510N416																VNG_0143H
A0A510N423																VNG_0160a
A0A510N430	boa1										cd00130;	PS50112;	SM00065;SM00091;	PF15915;PF13185;PF04967;PF08448;	IPR031803;IPR003018;IPR029016;IPR007050;IPR000014;IPR035965;IPR013656;	boa1 VNG_0160G
A0A510N433	cat1				integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]								PF13520;PF00582;	IPR002293;IPR014729;IPR006016;	cat1 VNG_0174G
A0A510N434						oxidoreductase activity [GO:0016491]								PF01323;	IPR001853;IPR036249;	VNG_0170C
A0A510N436	acs4					ligase activity [GO:0016874]						PS00455;		PF00501;PF13193;	IPR025110;IPR045851;IPR020845;IPR000873;IPR042099;	acs4 VNG_0162G
A0A510N447				methylation [GO:0032259]		methyltransferase activity [GO:0008168]								PF08241;	IPR013216;IPR029063;	VNG_0184H
A0A510N450	trxA3											PS51352;		PF00085;	IPR036249;IPR013766;	trxA3 VNG_0167H
A0A510N452																VNG_0187H
A0A510N455						metal ion binding [GO:0046872]								PF12773;	IPR025874;	VNG_0195H
A0A510N457																VNG_0197a
A0A510N475																VNG_0200a
A0A510N480														PF02643;	IPR003795;IPR038695;	VNG_0227H
A0A510N482													SM00849;	PF00753;	IPR001279;IPR036866;	VNG_0231C
A0A510N483					integral component of membrane [GO:0016021]											VNG_0222a
A0A510N484	pcc1													PF09341;	IPR015419;	pcc1 VNG_0234a
A0A510N498					integral component of membrane [GO:0016021]									PF13559;	IPR025403;	VNG_0219H
A0A510N4A3																VNG_0261H
A0A510N4B0														PF19104;	IPR043809;	VNG_0266H
A0A510N4B4	rnhA2					nucleic acid binding [GO:0003676]; RNA-DNA hybrid ribonuclease activity [GO:0004523]						PS50879;		PF13456;	IPR012337;IPR002156;IPR036397;	rnhA2 VNG_0255C
A0A510N4B6					integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]						PS50850;		PF07690;	IPR011701;IPR020846;IPR036259;	VNG_0270C
A0A510N4B8						oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]									IPR036661;	VNG_0277a
A0A510N4C0																VNG_0280a
A0A510N4C4												PS50926;		PF01938;	IPR012340;IPR002792;	VNG_0287a
A0A510N4D5				methylation [GO:0032259]		methyltransferase activity [GO:0008168]								PF13649;	IPR041698;IPR029063;	VNG_0294G
A0A510N4D7					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]									PF03458;	IPR005115;	VNG_0298H
A0A510N4E1						transferase activity [GO:0016740]								PF01887;	IPR002747;IPR023227;IPR023228;	VNG_0300C
A0A510N4F0																VNG_0312H
A0A510N4F1														PF04250;	IPR007362;	VNG_0282a
A0A510N4G3																VNG_0346H
A0A510N4H1														PF19102;	IPR043899;	VNG_0357a
A0A510N4H2														PF19101;	IPR043900;	VNG_0360C
A0A510N4H9					integral component of membrane [GO:0016021]											VNG_0347H
A0A510N4I1						catalytic activity [GO:0003824]									IPR016195;	VNG_0370H
A0A510N4I3												PS00028;			IPR013087;	VNG_0373H
A0A510N4I9	acd1					flavin adenine dinucleotide binding [GO:0050660]; oxidoreductase activity, acting on the CH-CH group of donors [GO:0016627]								PF00441;PF02770;PF02771;	IPR006091;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	acd1 VNG_0371G
A0A510N4J2					integral component of membrane [GO:0016021]									PF04307;	IPR007404;	VNG_0368a
A0A510N4J9	pabA			organic substance metabolic process [GO:0071704]		4-amino-4-deoxychorismate synthase activity [GO:0046820]					cd01743;			PF00117;	IPR029062;IPR017926;IPR006221;	pabA trpG2 VNG_0386G
A0A510N4K7						nucleotide binding [GO:0000166]									IPR010995;	VNG_0383H
A0A510N4L0																VNG_0399H
A0A510N4L2																VNG_0401a
A0A510N4M0	cyc					heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]						PS00086;		PF00067;	IPR001128;IPR017972;IPR002401;IPR036396;	cyc VNG_0422G
A0A510N4M5					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]									PF03706;	IPR022791;	VNG_0407H
A0A510N4M8	graD1			biosynthetic process [GO:0009058]		nucleotidyltransferase activity [GO:0016779]								PF00483;	IPR005835;IPR029044;	graD1 VNG_0390G
A0A510N4N1														PF19100;	IPR043901;	VNG_0430H
A0A510N4N3	purNH			'de novo' IMP biosynthetic process [GO:0006189]		IMP cyclohydrolase activity [GO:0003937]; phosphoribosylaminoimidazolecarboxamide formyltransferase activity [GO:0004643]; phosphoribosylglycinamide formyltransferase activity [GO:0004644]					cd08645;		SM00798;	PF01808;PF00551;	IPR024051;IPR016193;IPR002376;IPR036477;IPR004607;IPR002695;	purNH VNG_0414G
A0A510N4P5	grx4					glutathione oxidoreductase activity [GO:0097573]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]					cd03028;			PF00462;	IPR002109;IPR033658;IPR004480;IPR036249;	grx4 VNG_0450C
A0A510N4P7	kdgA					2-dehydro-3-deoxy-phosphogluconate aldolase activity [GO:0008675]						PS00666;	SM01130;	PF00701;	IPR013785;IPR002220;IPR020625;	kdgA VNG_0444G
A0A510N4P8	pyrE1					glycosyltransferase activity [GO:0016757]					cd06223;			PF00156;	IPR000836;IPR029057;IPR022854;	pyrE1 VNG_0448G
A0A510N4P9	purB			IMP biosynthetic process [GO:0006188]		(S)-2-(5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxamido) succinate lyase (fumarate-forming) activity [GO:0070626]; N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity [GO:0004018]						PS00163;		PF08328;PF00206;	IPR024083;IPR020557;IPR000362;IPR022761;IPR008948;IPR013539;	purB VNG_0415G
A0A510N4R1						ATP binding [GO:0005524]						PS50893;	SM00382;	PF00005;	IPR003593;IPR003439;IPR027417;	VNG_0465G
A0A510N4R8	mmcA2					cobalamin binding [GO:0031419]; methylmalonyl-CoA mutase activity [GO:0004494]								PF01642;	IPR016176;IPR006099;IPR006098;	mmcA2 VNG_0481G
A0A510N4S6						hydrolase activity [GO:0016787]						PS51462;PS00893;		PF00293;	IPR020476;IPR015797;IPR020084;IPR000086;	VNG_0475a
A0A510N4S7						N-acetyltransferase activity [GO:0008080]								PF13302;	IPR016181;IPR000182;	VNG_0487H
A0A510N4T7					integral component of membrane [GO:0016021]	transmembrane transporter activity [GO:0022857]						PS50850;		PF07690;	IPR011701;IPR020846;IPR036259;IPR001958;	VNG_0501G
A0A510N4T9						oxidoreductase activity [GO:0016491]						PS00798;PS00062;		PF00248;	IPR020471;IPR018170;IPR023210;IPR036812;	VNG_0467G
A0A510N4U7																VNG_0516a
A0A510N4U8	mce					methylmalonyl-CoA epimerase activity [GO:0004493]					cd07249;	PS51819;			IPR029068;IPR017515;IPR037523;	mce VNG_0478C
A0A510N4V2															IPR011004;	VNG_0507C
A0A510N4V8																VNG_0532a
A0A510N4V9														PF01987;	IPR002838;IPR036983;IPR016031;	VNG_0533H
A0A510N4W3					integral component of membrane [GO:0016021]									PF01169;	IPR001727;	VNG_0535C
A0A510N4W7															IPR029052;IPR024173;	VNG_0543H
A0A510N4X0						hydrolase activity [GO:0016787]					cd00077;	PS51831;	SM00471;	PF01966;	IPR003607;IPR006674;IPR006675;	VNG_0534C
A0A510N4X4	sirR				cytoplasm [GO:0005737]	DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; protein dimerization activity [GO:0046983]; transition metal ion binding [GO:0046914]						PS50944;	SM00899;SM00529;	PF02742;PF01325;PF04023;	IPR007167;IPR001367;IPR036421;IPR038157;IPR022687;IPR022689;IPR008988;IPR036388;IPR036390;	sirR VNG_0536G
A0A510N4Y0					integral component of membrane [GO:0016021]						cd06257;	PS50076;	SM00271;	PF00226;	IPR001623;IPR036869;	VNG_0544a
A0A510N4Y1						oxidoreductase activity [GO:0016491]								PF01593;	IPR002937;IPR036188;	VNG_0542C
A0A510N4Y6	mrpG				integral component of membrane [GO:0016021]	monovalent cation:proton antiporter activity [GO:0005451]								PF03334;	IPR005133;	mrpG VNG_0570H
A0A510N4Y7															IPR009078;	VNG_0527a
A0A510N4Y9	mrpF				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ion transmembrane transporter activity [GO:0015075]								PF04066;	IPR007208;	mrpF VNG_0568C
A0A510N4Z1																VNG_0553a
A0A510N501					integral component of membrane [GO:0016021]											VNG_0506H
A0A510N502														PF10604;	IPR019587;IPR023393;	VNG_0572a
A0A510N509	mvaD			isopentenyl diphosphate biosynthetic process, mevalonate pathway [GO:0019287]	cytosol [GO:0005829]	ATP binding [GO:0005524]; diphosphomevalonate decarboxylase activity [GO:0004163]								PF00288;	IPR036554;IPR006204;IPR005935;IPR029765;IPR020568;IPR014721;	mvaD mvd VNG_0593G
A0A510N511					integral component of membrane [GO:0016021]											VNG_0613a
A0A510N512	gth1					glycosyltransferase activity [GO:0016757]								PF13439;PF00534;	IPR001296;IPR028098;	gth1 VNG_0598C
A0A510N515	mrpD1				integral component of membrane [GO:0016021]									PF00361;	IPR001750;	mrpD1 VNG_0562C
A0A510N516					integral component of membrane [GO:0016021]											VNG_0518H
A0A510N517					integral component of membrane [GO:0016021]											VNG_0593a
A0A510N520																VNG_0015H
A0A510N523																VNG_0611a
A0A510N525	hcpF					copper ion binding [GO:0005507]; electron transfer activity [GO:0009055]						PS00196;PS51318;		PF00127;	IPR002386;IPR000923;IPR028871;IPR008972;IPR006311;	hcpF VNG_0573C
A0A510N526																VNG_0530a
A0A510N533															IPR029062;	VNG_0617H
A0A510N535					integral component of membrane [GO:0016021]									PF07681;	IPR032808;	VNG_0624H
A0A510N540					integral component of membrane [GO:0016021]											VNG_0553C
A0A510N544					integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	glycosyltransferase activity [GO:0016757]								PF13231;	IPR019962;IPR016950;IPR038731;	VNG_0631C
A0A510N547	citE					lyase activity [GO:0016829]; metal ion binding [GO:0046872]								PF03328;	IPR005000;IPR011206;IPR015813;IPR040442;	citE VNG_0627G
A0A510N549														PF10977;	IPR021246;	VNG_0596H
A0A510N551	aglF1			biosynthetic process [GO:0009058]		UTP:glucose-1-phosphate uridylyltransferase activity [GO:0003983]								PF00483;	IPR005835;IPR029044;	aglF1 graD6 VNG_0047G
A0A510N554	nuoH				integral component of membrane [GO:0016021]									PF00146;	IPR001694;	nuoH VNG_0639G
A0A510N555					integral component of membrane [GO:0016021]											VNG_0656H
A0A510N559	nuoJ2				integral component of membrane [GO:0016021]										IPR042106;	nuoJ2 VNG_0642C
A0A510N561	nadK2			NAD metabolic process [GO:0019674]		NAD+ kinase activity [GO:0003951]									IPR017438;IPR017437;IPR016064;	nadK2 VNG_0576C
A0A510N565	mmcA1					cobalamin binding [GO:0031419]; methylmalonyl-CoA mutase activity [GO:0004494]								PF01642;	IPR016176;IPR006099;IPR006098;	mmcA1 VNG_0653G
A0A510N569					integral component of membrane [GO:0016021]											VNG_0656a
A0A510N578	acd4					acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]						PS00072;PS00073;		PF00441;PF02770;PF02771;	IPR006089;IPR006091;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	acd4 VNG_0679G
A0A510N582	gth2					glycosyltransferase activity [GO:0016757]								PF13439;PF00534;	IPR001296;IPR028098;	gth2 VNG_0600C
A0A510N585					integral component of membrane [GO:0016021]											VNG_0692C
A0A510N586	fdfT			biosynthetic process [GO:0009058]		farnesyl-diphosphate farnesyltransferase activity [GO:0004310]; squalene synthase activity [GO:0051996]					cd00683;			PF00494;	IPR008949;IPR002060;IPR044844;IPR033904;	fdfT VNG_0680G
A0A510N596																VNG_0110a
A0A510N597													SM00849;	PF00753;	IPR001279;IPR036866;	VNG_0709C
A0A510N599						nucleotide binding [GO:0000166]									IPR010995;	VNG_0682C
A0A510N5A0					integral component of membrane [GO:0016021]											VNG_0660H
A0A510N5A3				DNA repair [GO:0006281]		deaminated base DNA N-glycosylase activity [GO:0097506]							SM00986;	PF03167;	IPR005122;IPR036895;	VNG_0707C
A0A510N5B5					integral component of membrane [GO:0016021]	antiporter activity [GO:0015297]; xenobiotic transmembrane transporter activity [GO:0042910]								PF01554;	IPR002528;	VNG_0720G
A0A510N5B9														PF04285;	IPR006698;IPR036465;	VNG_0746C
A0A510N5C0	fba1					fructose-bisphosphate aldolase activity [GO:0004332]					cd00958;		SM01133;	PF01791;	IPR013785;IPR002915;IPR041720;	fba1 VNG_0683C
A0A510N5C2	prkA2					protein serine/threonine kinase activity [GO:0004674]							SM00763;	PF08298;PF06798;	IPR013153;IPR010650;	prkA2 VNG_0748G
A0A510N5C4														PF07920;	IPR012467;	VNG_0733H
A0A510N5D6					integral component of membrane [GO:0016021]											VNG_0754C
A0A510N5E8															IPR036388;IPR036390;	VNG_0688H
A0A510N5F4						catalytic activity [GO:0003824]						PS50035;	SM00155;	PF13091;	IPR025202;IPR001736;	VNG_0779a
A0A510N5F5						kinase activity [GO:0016301]									IPR011009;	VNG_0771a
A0A510N5G4	hcpC					copper ion binding [GO:0005507]; electron transfer activity [GO:0009055]						PS00196;PS51318;		PF00127;	IPR000923;IPR028871;IPR008972;IPR006311;	hcpC VNG_0795G
A0A510N5G6																VNG_0788H
A0A510N5G7						hydrolase activity [GO:0016787]								PF13344;	IPR036412;IPR006357;IPR023214;	VNG_0719G
A0A510N5H2	qor2					NADPH:quinone reductase activity [GO:0003960]; oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor [GO:0016628]							SM00829;	PF16884;PF00107;	IPR013149;IPR041694;IPR011032;IPR045010;IPR036291;IPR020843;	qor2 VNG_0815G
A0A510N5H3																VNG_0811H
A0A510N5H4						hydrolase activity [GO:0016787]					cd00077;			PF01966;	IPR003607;IPR006674;IPR039967;	VNG_0804C
A0A510N5I1	dmsR													PF04967;	IPR007050;	dmsR VNG_0826C
A0A510N5I3	pilB1													PF00437;	IPR027417;IPR001482;	pilB1 VNG_0823G
A0A510N5I6														PF19121;	IPR043828;	VNG_0837H
A0A510N5I9														PF00582;	IPR014729;IPR006016;	VNG_0743H
A0A510N5J3	dmsB					oxidoreductase activity [GO:0016491]						PS00198;PS51379;		PF13247;	IPR017896;IPR017900;	dmsB VNG_0830G
A0A510N5J6					integral component of membrane [GO:0016021]											VNG_0835b
A0A510N5K3	cynT					carbonate dehydratase activity [GO:0004089]; zinc ion binding [GO:0008270]							SM00947;	PF00484;	IPR001765;IPR036874;	cynT VNG_0841G
A0A510N5K8					integral component of membrane [GO:0016021]											VNG_0767H
A0A510N5L3				methylation [GO:0032259]		methyltransferase activity [GO:0008168]								PF05175;	IPR029063;IPR007848;	VNG_0857C
A0A510N5L4						catalytic activity [GO:0003824]							SM00481;	PF02811;	IPR004013;IPR003141;IPR016195;	VNG_0865C
A0A510N5L7														PF04475;	IPR007564;	VNG_0879C
A0A510N5M2	dmsC				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	oxidoreductase activity [GO:0016491]								PF03916;	IPR005614;	dmsC VNG_0831G
A0A510N5M5						DNA binding [GO:0003677]					cd00093;	PS51371;PS50943;	SM00116;SM00530;	PF00571;PF01381;	IPR000644;IPR046342;IPR001387;IPR010982;IPR017158;	VNG_0878G
A0A510N5M6					integral component of membrane [GO:0016021]	metallopeptidase activity [GO:0008237]										VNG_0875C
A0A510N5N1	dmsD													PF02613;	IPR020945;IPR036411;	dmsD VNG_0832C
A0A510N5N3						hydrolase activity [GO:0016787]								PF13344;	IPR036412;IPR006357;IPR023214;	VNG_0882G
A0A510N5P5														PF04229;	IPR007344;IPR043519;	VNG_0892a
A0A510N5P6													SM01126;	PF12762;PF12760;	IPR024445;IPR024442;	VNG_0918H VNG_7107
A0A510N5Q3				phosphorelay signal transduction system [GO:0000160]								PS50110;	SM00448;	PF08663;PF00072;	IPR011006;IPR013971;IPR001789;IPR039420;	VNG_0917G
A0A510N5Q8																VNG_0311H
A0A510N5R3															IPR031033;	VNG_0835a
A0A510N5R4						ATP binding [GO:0005524]; protein kinase activity [GO:0004672]						PS50011;	SM00220;		IPR011989;IPR016024;IPR011009;IPR000719;	VNG_0928G
A0A510N5S2						hydrolase activity [GO:0016787]							SM00849;	PF12706;	IPR001279;IPR036866;	VNG_0851C
A0A510N5S3	acdA					acetate-CoA ligase (ADP-forming) activity [GO:0043758]; ATP binding [GO:0005524]							SM00881;	PF13380;PF19045;PF13607;	IPR013815;IPR003781;IPR043938;IPR036291;IPR032875;IPR016102;	acdA VNG_0940G
A0A510N5T2	cheR					protein-glutamate O-methyltransferase activity [GO:0008983]						PS50123;	SM00138;	PF01739;PF03705;	IPR022642;IPR000780;IPR022641;IPR036804;IPR029063;	cheR VNG_0966G
A0A510N5T7	arlH													PF06745;	IPR014774;IPR027417;	arlH flaH VNG_0950G
A0A510N5U7												PS50176;	SM00567;		IPR011989;IPR016024;IPR000225;IPR004155;	VNG_0963G
A0A510N5W7																VNG_0999a
A0A510N5W8						metal ion binding [GO:0046872]									IPR038587;	VNG_0987a
A0A510N5Y4																VNG_1007a
A0A510N5Y7	grx5			glutathione metabolic process [GO:0006749]										PF13417;	IPR004045;IPR036249;	grx5 VNG_1012H
A0A510N5Z2																VNG_0985a
A0A510N5Z4					integral component of membrane [GO:0016021]											VNG_1034H
A0A510N607	hpcE					catalytic activity [GO:0003824]								PF01557;	IPR011234;IPR036663;	hpcE VNG_1037G
A0A510N608	arlG			archaeal or bacterial-type flagellum-dependent cell motility [GO:0097588]		structural molecule activity [GO:0005198]								PF01917;	IPR002774;IPR013783;	arlG flaG VNG_0950a
A0A510N611																VNG_0994b
A0A510N613														PF02566;	IPR015946;IPR003718;IPR036102;	VNG_1041a
A0A510N615																VNG_1047H
A0A510N630	aglG				integral component of membrane [GO:0016021]	transferase activity [GO:0016740]								PF00535;	IPR001173;IPR029044;	aglG gtl2 VNG_1067G
A0A510N631					integral component of membrane [GO:0016021]									PF04018;	IPR007163;	VNG_1069C
A0A510N638					integral component of membrane [GO:0016021]									PF09858;	IPR019206;	VNG_0988H
A0A510N644															IPR036388;IPR036390;	VNG_1088C
A0A510N645					integral component of membrane [GO:0016021]											VNG_1095H
A0A510N648						hydrolase activity [GO:0016787]							SM00849;		IPR001279;IPR036866;IPR022877;	VNG_1038C
A0A510N654																VNG_1110C
A0A510N655											cd00090;				IPR011991;IPR036388;IPR036390;	VNG_1096H
A0A510N663	lrpA1					sequence-specific DNA binding [GO:0043565]					cd00090;	PS50956;	SM00344;	PF01037;	IPR011991;IPR000485;IPR011008;IPR019888;IPR019887;IPR036388;IPR036390;	lrpA1 VNG_1123G
A0A510N664																VNG_1119H
A0A510N666	drg					GTP binding [GO:0005525]; GTPase activity [GO:0003924]					cd01896;	PS51710;PS00905;PS51880;		PF01926;PF16897;PF02824;	IPR012675;IPR045001;IPR031167;IPR006073;IPR031662;IPR006074;IPR027417;IPR005225;IPR004095;IPR012676;	drg VNG_1111G
A0A510N667						nucleotide binding [GO:0000166]; oxidoreductase activity [GO:0016491]						PS00798;		PF00248;PF01408;	IPR020471;IPR018170;IPR000683;IPR036291;IPR023210;IPR036812;	VNG_1018G
A0A510N674	porA					pyruvate synthase activity [GO:0019164]					cd07034;			PF17147;PF01558;PF01855;	IPR022367;IPR033412;IPR019752;IPR002880;IPR002869;IPR029061;IPR009014;	porA VNG_1128G
A0A510N681	rpl18e			translation [GO:0006412]	cytoplasm [GO:0005737]; ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]						PS01106;		PF17135;	IPR036227;IPR021132;IPR000039;IPR021131;IPR022947;	rpl18e VNG_1137G
A0A510N684	rps9			translation [GO:0006412]	cytoplasm [GO:0005737]; ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]						PS00360;		PF00380;	IPR020568;IPR014721;IPR000754;IPR019958;IPR020574;	rps9 VNG_1139G
A0A510N6A3	mscS1				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	mechanosensitive ion channel activity [GO:0008381]								PF00924;	IPR010920;IPR045275;IPR006685;IPR011066;IPR011014;IPR023408;	mscS1 VNG_1164C
A0A510N6A7						phosphorelay sensor kinase activity [GO:0000155]					cd00082;cd00130;	PS50109;	SM00065;SM00387;SM00388;SM00091;	PF01590;PF02518;PF00512;PF08448;	IPR003018;IPR029016;IPR003594;IPR036890;IPR005467;IPR003661;IPR036097;IPR000014;IPR035965;IPR013656;	VNG_1175G
A0A510N6A8											cd09281;	PS01318;PS51668;		PF01980;	IPR023370;IPR023368;IPR040372;IPR036413;IPR036414;	VNG_1115H
A0A510N6B0														PF07754;	IPR044720;IPR011668;	VNG_1173a
A0A510N6B1	mrpD3				integral component of membrane [GO:0016021]									PF00361;	IPR001750;	mrpD3 VNG_0563G
A0A510N6C1																VNG_1189H
A0A510N6E3	cbiX2			cobalamin biosynthetic process [GO:0009236]		metal ion binding [GO:0046872]; sirohydrochlorin cobaltochelatase activity [GO:0016852]								PF01903;	IPR002762;	cbiX2 VNG_1093C
A0A510N6E5						nucleic acid binding [GO:0003676]								PF13482;	IPR012337;IPR036397;IPR038720;	VNG_1213C
A0A510N6F8						sequence-specific DNA binding [GO:0043565]					cd00090;	PS00519;PS50956;	SM00344;SM00746;	PF08394;PF13404;	IPR011991;IPR000485;IPR011017;IPR013603;IPR019888;IPR019885;IPR036388;IPR036390;	VNG_1179C
A0A510N6G3				potassium ion transport [GO:0006813]								PS51201;		PF02254;	IPR036291;IPR003148;	VNG_1238C
A0A510N6G7	pccB1					propionyl-CoA carboxylase activity [GO:0004658]; transferase activity [GO:0016740]						PS50989;PS50980;		PF01039;	IPR034733;IPR029045;IPR011763;IPR011762;IPR045190;	pccB1 VNG_0623G
A0A510N6I0														PF04475;	IPR007564;	VNG_1264C
A0A510N6I3					integral component of membrane [GO:0016021]											VNG_1271H
A0A510N6I5	acd3					acyl-CoA dehydrogenase activity [GO:0003995]; flavin adenine dinucleotide binding [GO:0050660]						PS00073;		PF00441;PF02770;PF02771;	IPR006089;IPR006091;IPR036250;IPR009075;IPR013786;IPR037069;IPR009100;	acd3 VNG_1191G
A0A510N6I6	nuoN			ATP synthesis coupled electron transport [GO:0042773]	integral component of membrane [GO:0016021]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]								PF00361;	IPR010096;IPR001750;	nuoN VNG_0648G
A0A510N6K4	trxA5														IPR036249;	trxA5 VNG_1302H
A0A510N6K6				carbohydrate metabolic process [GO:0005975]							cd02955;			PF03190;	IPR008928;IPR012341;IPR004879;IPR024705;IPR036249;	VNG_1303C
A0A510N6K8	ahbC					catalytic activity [GO:0003824]; iron-sulfur cluster binding [GO:0051536]; metal ion binding [GO:0046872]						PS51918;	SM00729;	PF04055;PF13186;	IPR023885;IPR013785;IPR006638;IPR017200;IPR027626;IPR007197;	ahbC cmo2 pqqE2 VNG_1184G
A0A510N6L3																VNG_1315H
A0A510N6M0											cd11532;				IPR038735;	VNG_1196H
A0A510N6M5																VNG_1330H
A0A510N6M6																VNG_1318H
A0A510N6N0						oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]								PF00296;	IPR023909;IPR011251;IPR036661;	VNG_1342G
A0A510N6N1													SM00849;	PF00753;	IPR001279;IPR036866;	VNG_1340C
A0A510N6N3	folP			folic acid-containing compound biosynthetic process [GO:0009396]		dihydropteroate synthase activity [GO:0004156]						PS50972;		PF00809;	IPR045031;IPR011005;IPR000489;	folP dhpS VNG_1344G
A0A510N6N6	rpa1														IPR012340;	rpa1 VNG_1255C
A0A510N6P0				RNA processing [GO:0006396]		RNA binding [GO:0003723]; RNA methyltransferase activity [GO:0008173]								PF00588;	IPR029028;IPR004384;IPR001537;IPR029026;	VNG_1347C
A0A510N6P7						N-acetyltransferase activity [GO:0008080]								PF00583;	IPR016181;IPR000182;	VNG_1360H
A0A510N6Q0	btuF											PS50983;		PF01497;	IPR002491;IPR026469;	btuF VNG_1369G
A0A510N6Q1	btuD				plasma membrane [GO:0005886]	ATP binding [GO:0005524]						PS00211;PS50893;	SM00382;	PF00005;	IPR003593;IPR003439;IPR017871;IPR027417;	btuD VNG_1371G
A0A510N6Q3	btuC				integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	transmembrane transporter activity [GO:0022857]								PF01032;	IPR037294;IPR000522;	btuC VNG_1370G
A0A510N6Q9												PS50157;			IPR013087;	VNG_1246a
A0A510N6R3														PF19096;	IPR043953;	VNG_1381H
A0A510N6S1						calcium ion binding [GO:0005509]									IPR028974;	VNG_1320G
A0A510N6S9														PF03061;	IPR029069;IPR003736;IPR006683;	VNG_1336C
A0A510N6U0	maoC3													PF01575;	IPR029069;IPR002539;	maoC3 VNG_1349C
A0A510N6U3												PS51664;		PF02624;	IPR003776;	VNG_1410H
A0A510N6U4														PF19099;	IPR043902;	VNG_0765H
A0A510N6U7	rps17e			translation [GO:0006412]	ribosome [GO:0005840]	structural constituent of ribosome [GO:0003735]						PS00712;		PF00833;	IPR001210;IPR018273;IPR036401;	rps17e VNG_1433G
A0A510N6U8														PF19120;	IPR043827;	VNG_1300H
A0A510N6V8				signal transduction [GO:0007165]	integral component of membrane [GO:0016021]	protein histidine kinase activity [GO:0004673]						PS50885;PS50109;	SM00304;SM00387;	PF13581;	IPR003660;IPR003594;IPR036890;IPR005467;IPR004358;	VNG_1375C
A0A510N6W2				nucleotide catabolic process [GO:0009166]		hydrolase activity [GO:0016787]								PF02872;	IPR008334;IPR036907;IPR006179;IPR029052;	VNG_1450G
A0A510N6W3					plasma membrane [GO:0005886]							PS51318;		PF02608;	IPR028082;IPR003760;IPR006311;	VNG_0794G
A0A510N6W5																VNG_1459H
A0A510N6W6	serA2					NAD binding [GO:0051287]; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor [GO:0016616]								PF00389;PF02826;	IPR006139;IPR006140;IPR036291;	serA2 VNG_1437G
A0A510N6W8														PF07883;	IPR013096;IPR014710;IPR011051;	VNG_1326H
A0A510N6X1				tRNA processing [GO:0008033]		metal ion binding [GO:0046872]								PF01951;	IPR023572;IPR036820;	VNG_1456H
A0A510N6X3																VNG_0810H
A0A510N6X4	trmB										cd00090;			PF11495;PF01978;	IPR011991;IPR021586;IPR002831;IPR036388;IPR036390;	trmB VNG_1451C
A0A510N6X7														PF03684;	IPR005369;	VNG_1401C
A0A510N6Y2	brb															brb VNG_1466a
